red_threshold,orange_ratio,brightness_threshold,fire_pixels,fire_percent
120,0.4,200,405,0.1544952392578125
120,0.4,280,292,0.11138916015625
120,0.4,300,232,0.0885009765625
120,0.4,400,0,0.0
120,0.4,500,0,0.0
120,0.6,200,405,0.1544952392578125
120,0.6,280,292,0.11138916015625
120,0.6,300,232,0.0885009765625
120,0.6,400,0,0.0
120,0.6,500,0,0.0
120,0.8,200,405,0.1544952392578125
120,0.8,280,292,0.11138916015625
120,0.8,300,232,0.0885009765625
120,0.8,400,0,0.0
120,0.8,500,0,0.0
120,1.0,200,405,0.1544952392578125
120,1.0,280,292,0.11138916015625
120,1.0,300,232,0.0885009765625
120,1.0,400,0,0.0
120,1.0,500,0,0.0
120,1.2,200,405,0.1544952392578125
120,1.2,280,292,0.11138916015625
120,1.2,300,232,0.0885009765625
120,1.2,400,0,0.0
120,1.2,500,0,0.0
160,0.4,200,288,0.10986328125
160,0.4,280,267,0.1018524169921875
160,0.4,300,216,0.0823974609375
160,0.4,400,0,0.0
160,0.4,500,0,0.0
160,0.6,200,288,0.10986328125
160,0.6,280,267,0.1018524169921875
160,0.6,300,216,0.0823974609375
160,0.6,400,0,0.0
160,0.6,500,0,0.0
160,0.8,200,288,0.10986328125
160,0.8,280,267,0.1018524169921875
160,0.8,300,216,0.0823974609375
160,0.8,400,0,0.0
160,0.8,500,0,0.0
160,1.0,200,288,0.10986328125
160,1.0,280,267,0.1018524169921875
160,1.0,300,216,0.0823974609375
160,1.0,400,0,0.0
160,1.0,500,0,0.0
160,1.2,200,288,0.10986328125
160,1.2,280,267,0.1018524169921875
160,1.2,300,216,0.0823974609375
160,1.2,400,0,0.0
160,1.2,500,0,0.0
170,0.4,200,269,0.1026153564453125
170,0.4,280,258,0.098419189453125
170,0.4,300,207,0.0789642333984375
170,0.4,400,0,0.0
170,0.4,500,0,0.0
170,0.6,200,269,0.1026153564453125
170,0.6,280,258,0.098419189453125
170,0.6,300,207,0.0789642333984375
170,0.6,400,0,0.0
170,0.6,500,0,0.0
170,0.8,200,269,0.1026153564453125
170,0.8,280,258,0.098419189453125
170,0.8,300,207,0.0789642333984375
170,0.8,400,0,0.0
170,0.8,500,0,0.0
170,1.0,200,269,0.1026153564453125
170,1.0,280,258,0.098419189453125
170,1.0,300,207,0.0789642333984375
170,1.0,400,0,0.0
170,1.0,500,0,0.0
170,1.2,200,269,0.1026153564453125
170,1.2,280,258,0.098419189453125
170,1.2,300,207,0.0789642333984375
170,1.2,400,0,0.0
170,1.2,500,0,0.0
185,0.4,200,226,0.086212158203125
185,0.4,280,225,0.0858306884765625
185,0.4,300,205,0.0782012939453125
185,0.4,400,0,0.0
185,0.4,500,0,0.0
185,0.6,200,226,0.086212158203125
185,0.6,280,225,0.0858306884765625
185,0.6,300,205,0.0782012939453125
185,0.6,400,0,0.0
185,0.6,500,0,0.0
185,0.8,200,226,0.086212158203125
185,0.8,280,225,0.0858306884765625
185,0.8,300,205,0.0782012939453125
185,0.8,400,0,0.0
185,0.8,500,0,0.0
185,1.0,200,226,0.086212158203125
185,1.0,280,225,0.0858306884765625
185,1.0,300,205,0.0782012939453125
185,1.0,400,0,0.0
185,1.0,500,0,0.0
185,1.2,200,226,0.086212158203125
185,1.2,280,225,0.0858306884765625
185,1.2,300,205,0.0782012939453125
185,1.2,400,0,0.0
185,1.2,500,0,0.0
200,0.4,200,172,0.06561279296875
200,0.4,280,172,0.06561279296875
200,0.4,300,172,0.06561279296875
200,0.4,400,0,0.0
200,0.4,500,0,0.0
200,0.6,200,172,0.06561279296875
200,0.6,280,172,0.06561279296875
200,0.6,300,172,0.06561279296875
200,0.6,400,0,0.0
200,0.6,500,0,0.0
200,0.8,200,172,0.06561279296875
200,0.8,280,172,0.06561279296875
200,0.8,300,172,0.06561279296875
200,0.8,400,0,0.0
200,0.8,500,0,0.0
200,1.0,200,172,0.06561279296875
200,1.0,280,172,0.06561279296875
200,1.0,300,172,0.06561279296875
200,1.0,400,0,0.0
200,1.0,500,0,0.0
200,1.2,200,172,0.06561279296875
200,1.2,280,172,0.06561279296875
200,1.2,300,172,0.06561279296875
200,1.2,400,0,0.0
200,1.2,500,0,0.0
